"","modality","question","word","given_count","selected_count","model_rating","select_rate","r_modality","p_modality"
"123","Haptic","Haptic.2","margrel",152,53,0.31915203,0.348684210526316,0.0983887562905601,0.618413992906781
"124","Haptic","Haptic.2","shomples",152,81,0.5592264,0.532894736842105,0.0983887562905601,0.618413992906781
"125","Haptic","Haptic.2","squeanings",152,44,0,0.289473684210526,0.0983887562905601,0.618413992906781
"126","Haptic","Haptic.2","whebbling",152,77,0,0.506578947368421,0.0983887562905601,0.618413992906781
"127","Haptic","Haptic.3","ascodiments",130,33,0.39731148,0.253846153846154,0.0983887562905601,0.618413992906781
"128","Haptic","Haptic.3","caeduseousness",130,56,0.038599566,0.430769230769231,0.0983887562905601,0.618413992906781
"129","Haptic","Haptic.3","corsenations",130,66,0.5313612,0.507692307692308,0.0983887562905601,0.618413992906781
"130","Haptic","Haptic.3","fleceils",130,66,0.5473845,0.507692307692308,0.0983887562905601,0.618413992906781
"131","Haptic","Haptic.3","ipanelle",130,42,0.33459312,0.323076923076923,0.0983887562905601,0.618413992906781
"132","Haptic","Haptic.3","lusidour",130,61,0.14064677,0.469230769230769,0.0983887562905601,0.618413992906781
"133","Haptic","Haptic.3","scalilla",130,66,0.53130996,0.507692307692308,0.0983887562905601,0.618413992906781
"134","Haptic","Haptic.4","fifuffies",131,84,0.31467295,0.641221374045801,0.0983887562905601,0.618413992906781
"135","Haptic","Haptic.4","flicetock",131,61,0.5245836,0.465648854961832,0.0983887562905601,0.618413992906781
"136","Haptic","Haptic.4","gormidion",131,45,0.5240029,0.343511450381679,0.0983887562905601,0.618413992906781
"137","Haptic","Haptic.4","grumbered",131,57,0.05058957,0.435114503816794,0.0983887562905601,0.618413992906781
"138","Haptic","Haptic.4","nusprils",131,35,0.52337766,0.267175572519084,0.0983887562905601,0.618413992906781
"139","Haptic","Haptic.4","operrhaging",131,50,0.20761557,0.381679389312977,0.0983887562905601,0.618413992906781
"140","Haptic","Haptic.4","susteries",131,61,0.26685226,0.465648854961832,0.0983887562905601,0.618413992906781
"141","Head","Head.1","bambeagna",145,63,0.355068,0.43448275862069,0.162625741244876,0.408335611727986
"142","Head","Head.1","dispights",145,66,0.7249948,0.455172413793103,0.162625741244876,0.408335611727986
"143","Head","Head.1","fluckles",145,40,0.4426143,0.275862068965517,0.162625741244876,0.408335611727986
"144","Head","Head.1","obsightness",145,103,0.7282701,0.710344827586207,0.162625741244876,0.408335611727986
"145","Head","Head.1","repufling",145,44,0.39524814,0.303448275862069,0.162625741244876,0.408335611727986
"146","Head","Head.1","spaightness",145,67,0.754415,0.462068965517241,0.162625741244876,0.408335611727986
"147","Head","Head.1","urpharities",145,52,0.22001876,0.358620689655172,0.162625741244876,0.408335611727986
"148","Head","Head.2","chaspection",135,61,0.7129525,0.451851851851852,0.162625741244876,0.408335611727986
"149","Head","Head.2","covigating",135,76,0.4193649,0.562962962962963,0.162625741244876,0.408335611727986
"150","Head","Head.2","erpechitades",135,62,0.30651405,0.459259259259259,0.162625741244876,0.408335611727986
"151","Head","Head.2","frumbered",135,42,0.72124165,0.311111111111111,0.162625741244876,0.408335611727986
"152","Head","Head.2","recightlectly",135,59,0.7154912,0.437037037037037,0.162625741244876,0.408335611727986
"153","Head","Head.2","snially",135,52,0.33608064,0.385185185185185,0.162625741244876,0.408335611727986
"154","Head","Head.2","zimbazza",135,53,0.2884425,0.392592592592593,0.162625741244876,0.408335611727986
"155","Head","Head.3","bicrinations",150,84,0.697117,0.56,0.162625741244876,0.408335611727986
"156","Head","Head.3","enrogiciously",150,69,0.68762434,0.46,0.162625741244876,0.408335611727986
"157","Head","Head.3","fifuffies",150,40,0.27639523,0.266666666666667,0.162625741244876,0.408335611727986
"158","Head","Head.3","grumbered",150,53,0.67923796,0.353333333333333,0.162625741244876,0.408335611727986
"159","Head","Head.3","liechersedding",150,64,0.42234746,0.426666666666667,0.162625741244876,0.408335611727986
"160","Head","Head.3","menniated",150,84,0.3143819,0.56,0.162625741244876,0.408335611727986
"161","Head","Head.3","urreocatry",150,56,0.22436826,0.373333333333333,0.162625741244876,0.408335611727986
"162","Head","Head.4","conscrastions",132,87,0.46059963,0.659090909090909,0.162625741244876,0.408335611727986
"163","Head","Head.4","diruditions",132,71,0.6640064,0.537878787878788,0.162625741244876,0.408335611727986
"164","Head","Head.4","phongishments",132,51,0.40627158,0.386363636363636,0.162625741244876,0.408335611727986
"165","Head","Head.4","raruting",132,33,0.40353215,0.25,0.162625741244876,0.408335611727986
"166","Head","Head.4","risitating",132,42,0.6621543,0.318181818181818,0.162625741244876,0.408335611727986
"167","Head","Head.4","sauging",132,37,0.6629749,0.28030303030303,0.162625741244876,0.408335611727986
"168","Head","Head.4","scuptitally",132,75,0.2664002,0.568181818181818,0.162625741244876,0.408335611727986
"169","Interoceptive","Interoceptive.1","acchots",153,36,0.08394134,0.235294117647059,0.733443295801276,8.98493458769849e-06
"170","Interoceptive","Interoceptive.1","alphociration",153,89,0.72022873,0.581699346405229,0.733443295801276,8.98493458769849e-06
"171","Interoceptive","Interoceptive.1","ascodiments",153,45,0.10489552,0.294117647058824,0.733443295801276,8.98493458769849e-06
"172","Interoceptive","Interoceptive.1","caeduseousness",153,84,0.7937894,0.549019607843137,0.733443295801276,8.98493458769849e-06
"173","Interoceptive","Interoceptive.1","fereniration",153,98,0.75668836,0.640522875816993,0.733443295801276,8.98493458769849e-06
"174","Interoceptive","Interoceptive.1","lusidour",153,51,0.19625011,0.333333333333333,0.733443295801276,8.98493458769849e-06
"175","Interoceptive","Interoceptive.1","selorine",153,56,0.18059775,0.366013071895425,0.733443295801276,8.98493458769849e-06
"176","Interoceptive","Interoceptive.2","ancechuttos",123,37,0.12972705,0.300813008130081,0.733443295801276,8.98493458769849e-06
"177","Interoceptive","Interoceptive.2","bambeagna",123,39,0.12036456,0.317073170731707,0.733443295801276,8.98493458769849e-06
"178","Interoceptive","Interoceptive.2","grumbered",123,59,0.7032218,0.479674796747967,0.733443295801276,8.98493458769849e-06
"179","Interoceptive","Interoceptive.2","igmanilating",123,66,0.6911721,0.536585365853659,0.733443295801276,8.98493458769849e-06
"180","Interoceptive","Interoceptive.2","scayons",123,44,0.039349124,0.357723577235772,0.733443295801276,8.98493458769849e-06
"181","Interoceptive","Interoceptive.2","tygranate",123,39,0.08819076,0.317073170731707,0.733443295801276,8.98493458769849e-06
"182","Interoceptive","Interoceptive.2","urpharities",123,85,0.69320345,0.691056910569106,0.733443295801276,8.98493458769849e-06
"183","Interoceptive","Interoceptive.3","briagra",141,36,0.11849435,0.25531914893617,0.733443295801276,8.98493458769849e-06
"184","Interoceptive","Interoceptive.3","canmiobraine",141,64,0.680961,0.453900709219858,0.733443295801276,8.98493458769849e-06
